ingredient_text,allergens
"preservatives, crayfish, wheat protein, wheat, edamame, vitamin E, soy protein, xanthan gum, fructose, krill, celeriac, sugar","celery,shellfish,soy,wheat"
"INGREDIENTS: sodium bicarbonate, vitamin A (for texture), water, glucose, sunflower oil, corn syrup, yeast, salt",none
"citric acid, sugar, carrageenan, macadamia, calcium carbonate, brazil nut, vitamin E, almond, preservatives (for texture)",tree_nuts
"INGREDIENTS: abalone, marzipan, natural colors, mussel, walnut oil, paprika extract, salt, oyster, cashew. CONTAINS tree_nuts","molluscs,tree_nuts"
"paprika extract, salt, turmeric, palm oil, tapioca starch, water, lecithin",none
"vitamin D, vegetable oil, lecithin, sugar, modified starch, riboflavin",none
"sugar, miso, preservatives, soy sauce, vegetable oil, soy protein",soy
"artificial flavors, sugar, sodium bicarbonate (for color), vitamin E (as preservative)",none
"corn syrup (as stabilizer), magnesium carbonate (as stabilizer), lupini, calcium carbonate, sodium bicarbonate, salt, fructose, lupin, lupin concentrate, modified starch, potato starch",lupin
"INGREDIENTS: maltodextrin, magnesium carbonate, potato starch, xanthan gum, riboflavin, baking powder",none
"INGREDIENTS: ground peanuts, annatto, magnesium carbonate, wheat protein, modified starch, couscous, sulfites, tapioca starch. MAY CONTAIN fish, molluscs DUE TO SHARED EQUIPMENT","fish,molluscs,peanut,sulphites,wheat"
"potassium chloride, oyster, sodium bicarbonate, lecithin, squid, hazelnut, cashew, potato starch, octopus","molluscs,tree_nuts"
"INGREDIENTS: carrageenan, cream, thiamine (for color), butter, natural colors, sugar, peanut paste, lecithin, lactose","dairy,peanut"
"INGREDIENTS: tapioca starch, lecithin, chestnut, xanthan gum, vitamin A. MAY CONTAIN molluscs DUE TO SHARED EQUIPMENT","molluscs,tree_nuts"
"vitamin A, sulfur dioxide, rice flour, riboflavin",sulphites
"INGREDIENTS: vitamin E, riboflavin, invert sugar, paprika extract, carrageenan, magnesium carbonate, langoustine. CONTAINS shellfish. MAY CONTAIN lupin, shellfish, sesame DUE TO SHARED EQUIPMENT","lupin,sesame,shellfish"
"INGREDIENTS: celery leaves, dextrose, invert sugar, corn starch, lecithin, fructose, guar gum (for color), egg wash, riboflavin, beta carotene. CONTAINS egg. MAY CONTAIN wheat DUE TO SHARED EQUIPMENT","celery,egg,wheat"
"prawn, calcium carbonate, beta carotene, vitamin D, magnesium carbonate, vitamin A",shellfish
"salmon, corn syrup, lecithin, sodium bicarbonate (for color), niacin, modified starch (as stabilizer), sugar, fish protein, corn starch, riboflavin",fish
"sugar, modified starch, thiamine, maltodextrin, natural colors",none
"lecithin, yeast, lactic acid, corn starch, guar gum, natural flavors (for color), carrageenan, vitamin D",none
"sesame, corn syrup, sesame flour, til, artificial flavors (as stabilizer), lactic acid, mustard powder, salt, niacin, natural colors","mustard,sesame"
"INGREDIENTS: salt, mono and diglycerides, natural flavors, palm oil, thiamine, wheat germ, paprika extract, preservatives, rice flour. MAY CONTAIN lupin DUE TO SHARED EQUIPMENT","lupin,wheat"
"corn starch, sunflower oil, sodium bicarbonate, lecithin (as stabilizer), sugar, wheat, yeast, vegetable oil (as stabilizer)",wheat
"arachis oil, corn syrup, guar gum (for texture), vitamin E, peanut flour, goober peas, sodium bicarbonate, (may contain traces of celery, wheat)","celery,peanut,wheat"
"INGREDIENTS: turmeric (as stabilizer), magnesium carbonate, xanthan gum, natural flavors, baking powder, dried egg, potassium chloride, sesame paste. MAY CONTAIN wheat DUE TO SHARED EQUIPMENT","egg,sesame,wheat"
"INGREDIENTS: vitamin D (as stabilizer), thiamine, dried egg, preservatives. CONTAINS egg. MAY CONTAIN shellfish, sesame DUE TO SHARED EQUIPMENT","egg,sesame,shellfish"
"INGREDIENTS: paprika extract, soy lecithin, lupin bean powder, artificial flavors, lupin protein, soy flour, thiamine, invert sugar, tamari, corn starch","lupin,soy"
"INGREDIENTS: citric acid, soy flour, miso, sugar, mono and diglycerides, corn starch, turmeric, artificial flavors, modified starch, thiamine, soy. CONTAINS soy",soy
"mustard, mustard paste, carrageenan, fructose, corn syrup, rice flour (as preservative), glucose, mustard extract",mustard
"dextrose, vitamin E, vitamin A (as stabilizer), canola oil, mono and diglycerides, potassium chloride, beta carotene",none
"carrageenan, mustard extract, glucose, mustard, pistachio, thiamine, mono and diglycerides, potato starch, walnut, water, vitamin A, modified starch (for color)","mustard,tree_nuts"
"canola oil, soy protein, sodium bicarbonate, niacin, natural colors",soy
"INGREDIENTS: mustard paste, celery juice, fish extract, xanthan gum (for texture), preservatives, celery powder, baking powder, folate, tapioca starch, sardine, edamame, turmeric, wheat gluten, mustard, celery spice, natto, artificial flavors (as preservative), wheat protein. CONTAINS mustard, fish, soy, wheat, celery. MAY CONTAIN soy DUE TO SHARED EQUIPMENT","celery,fish,mustard,soy,wheat"
"INGREDIENTS: wheat germ, wheat starch, artificial flavors, baking powder, (produced in a facility that handles dairy), fructose (as preservative), guar gum, whole wheat flour. CONTAINS dairy. MAY CONTAIN sulphites, lupin, peanut DUE TO SHARED EQUIPMENT","dairy,lupin,peanut,sulphites,wheat"
"turmeric, rice flour, glucose, baking powder, sugar",none
"vegetable oil, milk fat, vitamin E, milk protein isolate, water (as preservative), lactose, folate",dairy
"fish stock, paprika extract (as stabilizer), sodium bicarbonate, riboflavin (for color), potassium chloride (as preservative), vegetable oil, artificial flavors, curd, cheese","dairy,fish"
"INGREDIENTS: dextrose, salt, riboflavin, corn syrup, water, fructose, palm oil (for texture)",none
"tapioca starch, modified starch (as stabilizer), dextrose (as preservative), sodium bicarbonate, carrageenan, corn syrup (as stabilizer)",none
"peanut butter, sodium bisulfite, treated with sulfites, fish oil, peanut protein, fish, sulfites, guar gum, riboflavin, sodium bicarbonate, natural colors, yeast, lecithin, mono and diglycerides, natural flavors","fish,peanut,sulphites"
"INGREDIENTS: yogurt, ghee, buttermilk, salt (for color), lactic acid, lupin flour, potato starch, lecithin, celery root, modified starch. CONTAINS dairy, lupin, celery","celery,dairy,lupin"
"sodium sulfite, contains sulfites, vitamin D, potassium bisulfite, lobster, paprika extract, palm oil","shellfish,sulphites"
"salt, celery spice, celery stalk, turmeric, magnesium carbonate, guar gum, sunflower oil, vitamin D (for texture)",celery
"riboflavin, canola oil, lecithin",none
"corn starch, (manufactured on equipment that also processes celery, mustard), xanthan gum, celery juice, paprika extract, celery seasoning, tapioca starch (as preservative)","celery,celery,mustard"
"lecithin (as preservative), corn starch, rice flour, guar gum, baking powder, palm oil, mustard oil, mustard seed, yellow mustard",mustard
"scallop, riboflavin (as preservative), artificial flavors, sodium bicarbonate, squid, sesame flour, clam","molluscs,sesame"
"INGREDIENTS: mono and diglycerides, vitamin D, sugar, canola oil, niacin, water. MAY CONTAIN lupin, egg DUE TO SHARED EQUIPMENT",",egg,lupin"
"INGREDIENTS: lactic acid (for color), sunflower oil (for color), (produced in a facility that handles fish, egg, celery), scallop, palm oil (as stabilizer), til, corn starch, artificial flavors, rice flour, oyster. CONTAINS sesame. MAY CONTAIN mustard, soy DUE TO SHARED EQUIPMENT","celery,egg,fish,molluscs,mustard,sesame,soy"
"natural colors, dextrose, beta carotene, citric acid (as preservative), lactic acid, peanut protein, ground peanuts, peanut oil, folate",peanut
"INGREDIENTS: calcium carbonate, vegetable oil, mustard oil, potato starch",mustard
"corn syrup, modified starch, potassium chloride, vitamin D, fish powder, fish sauce, sodium bicarbonate, dijon mustard, tuna, lecithin","fish,mustard"
"paprika extract, dextrose, magnesium carbonate, (may contain traces of dairy)",dairy
"canola oil, sugar, krill, modified starch, annatto, salt (as stabilizer), egg, potato starch, tempeh","egg,shellfish,soy"
"periwinkle, snail, chestnut, xanthan gum, lupin flour, riboflavin, egg protein, lupin concentrate, water, almond flour, lupin seeds, mustard extract, invert sugar, calamari, rice flour, salt, almond milk, turmeric, natural colors","egg,lupin,molluscs,mustard,tree_nuts"
"INGREDIENTS: carrageenan, calcium carbonate (for color), palm oil, xanthan gum, canola oil, paprika extract, sugar",none
"lactic acid, sunflower oil, vitamin D, yeast, beta carotene, natural flavors",none
"niacin (as preservative), magnesium carbonate (for texture), mono and diglycerides, annatto, maltodextrin, sesame seed, vitamin E, til, sesame oil, citric acid (for texture)",sesame
"palm oil, annatto, riboflavin, baking powder, glucose, salt, xanthan gum",none
"INGREDIENTS: turmeric (as preservative), egg wash, lupin bean powder, lupin seeds, salt, beta carotene, egg yolk, milk protein isolate, xanthan gum, pasteurized egg","dairy,egg,lupin"
"calcium carbonate, dextrose, macadamia, xanthan gum, natural colors, brazil nut, sodium bicarbonate (as stabilizer), (manufactured on equipment that also processes dairy), salt (as stabilizer)","dairy,tree_nuts"
"yeast, arachis oil, turmeric, potassium chloride (for texture), magnesium carbonate, ground nut oil, beta carotene, niacin",peanut
"ground nut oil, paprika extract, water, mono and diglycerides, fructose, (may be present: molluscs, soy, wheat), gingelly oil, calcium carbonate","molluscs,peanut,sesame,soy,wheat"
"INGREDIENTS: vitamin E, shellfish extract, lactic acid, krill, potassium chloride (as preservative), dextrose, guar gum, potato starch, water, turmeric. CONTAINS shellfish",shellfish
"INGREDIENTS: xanthan gum, vitamin E, corn starch, palm oil, potato starch (for texture), riboflavin. MAY CONTAIN soy DUE TO SHARED EQUIPMENT",",soy"
"guar gum, surimi, turmeric, egg powder, sardine, fish stock, shrimp paste, magnesium carbonate, rice flour, contains sulfites, riboflavin, water, sodium bicarbonate, crab, sulphites, lactic acid","egg,fish,shellfish,sulphites"
"maltodextrin, baking powder, citric acid, oyster sauce, (may contain traces of sulphites)","molluscs,sulphites"
"seitan, carrageenan, mono and diglycerides, egg yolk, calcium carbonate, yeast, sunflower oil, tapioca starch, lecithin, salt, pasta, dried egg","egg,wheat"
"INGREDIENTS: tapioca starch, preserved with sulfites, corn starch, crawfish, sulphites, potassium chloride, sodium bicarbonate, xanthan gum, whole wheat flour, bread crumbs. CONTAINS shellfish, sulphites. MAY CONTAIN soy, egg, peanut DUE TO SHARED EQUIPMENT","egg,peanut,shellfish,soy,sulphites,wheat"
"vitamin A, palm oil, tapioca starch, water, invert sugar (for texture)",none
"INGREDIENTS: salmon, sodium bicarbonate, sesame seed, palm oil (for texture), sesame oil, clam, mackerel, artificial flavors, fish extract. CONTAINS molluscs, sesame. MAY CONTAIN shellfish, sesame, dairy DUE TO SHARED EQUIPMENT","dairy,fish,molluscs,sesame,shellfish"
"xanthan gum, dextrose, oyster, lecithin, potassium chloride, seafood, clam juice, yogurt, whelk, til, white sesame, canola oil, shrimp paste, guar gum, skimmed milk powder, butter","dairy,molluscs,sesame,shellfish"
"water, yeast, contains sulfites, riboflavin, potassium metabisulfite, tapioca starch, xanthan gum, maltodextrin, anchovy, beta carotene, fish, fish sauce, niacin","fish,sulphites"
"mono and diglycerides, citric acid, corn syrup, preservatives, beta carotene, tapioca starch, folate, salt (for texture)",none
"INGREDIENTS: thiamine, tapioca starch, vitamin D, niacin, whelk, lactic acid, natural colors, mustard flour, glucose, mustard, oyster. CONTAINS mustard","molluscs,mustard"
"carrageenan, riboflavin, rice flour, celery extract, (manufactured on equipment that also processes shellfish, molluscs), magnesium carbonate, sugar, celery, paprika extract","celery,molluscs,shellfish"
"natural flavors, vitamin D, artificial flavors, almond paste, magnesium carbonate, salt, crawfish, potassium bisulfite, potassium chloride, xanthan gum, sulfites, sardine","fish,shellfish,sulphites,tree_nuts"
"niacin, egg wash, vitamin A, folate, celery, seafood, natural flavors, pasteurized egg, celery extract, lobster, sugar, thiamine","celery,egg,shellfish"
"INGREDIENTS: vitamin E, carrageenan, (may be present: lupin), niacin, paprika extract, dairy cream. CONTAINS lupin, dairy","dairy,lupin"
"preservatives, canola oil, vegetable oil, lactic acid, mono and diglycerides",none
"INGREDIENTS: crayfish, water, sesame, tuna, mackerel, fish oil, black sesame, salt, calcium carbonate, invert sugar (as stabilizer), natural flavors, milk, calamari, lactic acid, lecithin. MAY CONTAIN sesame, molluscs, fish DUE TO SHARED EQUIPMENT","dairy,fish,molluscs,sesame,shellfish"
"INGREDIENTS: water, abalone, squid, maltodextrin, sesame protein, potato starch, magnesium carbonate, ground nut oil. MAY CONTAIN fish, tree_nuts, lupin DUE TO SHARED EQUIPMENT","fish,lupin,molluscs,peanut,sesame,tree_nuts"
"buttermilk, vitamin E, corn syrup, modified starch, potato starch, paneer, lecithin (for texture)",dairy
"dextrose, tempeh, fish paste, lecithin, maltodextrin, yeast, (processed in a facility that also processes peanut, celery), guar gum","celery,fish,peanut,soy"
"mustard flour, mustard oil, carrageenan, (may contain traces of tree_nuts), xanthan gum, invert sugar, dijon mustard, preserved with sulfites","mustard,sulphites,tree_nuts"
"INGREDIENTS: soy, vitamin D (as stabilizer), vegetable oil, (manufactured on equipment that also processes dairy, mustard, fish), soy flour, citric acid, tofu. CONTAINS dairy, soy, fish, mustard. MAY CONTAIN soy, sesame DUE TO SHARED EQUIPMENT","dairy,fish,mustard,sesame,soy"
"salt, corn starch, beta carotene, xanthan gum, niacin, fructose (for color), glucose, mustard, potato starch",mustard
"guar gum, corn syrup, lactic acid, fructose, natto, paprika extract",soy
"lecithin, dextrose, soy flour, vitamin A, soy sauce, rice flour, soybean, folate, water, salt",soy
"vitamin D, baking powder, niacin, fructose (for texture), lupini beans, modified starch, glucose, paprika extract, mono and diglycerides",lupin
"INGREDIENTS: tapioca starch, egg white, turmeric, niacin (as preservative), carrageenan, egg protein, vitamin E, rice flour. CONTAINS egg. MAY CONTAIN peanut, egg DUE TO SHARED EQUIPMENT","egg,peanut"
"tapioca starch, soya, natto, vitamin A, modified starch, natural colors",soy
"rice flour, canola oil, corn starch, squid, beta carotene, dextrose, artificial flavors, magnesium carbonate",molluscs
"whole wheat flour, sodium bicarbonate, lactic acid, wheat, mustard seed, annatto, invert sugar, natural colors, riboflavin, flour","mustard,wheat"
"vitamin A, beta carotene, sodium bicarbonate",none
"magnesium carbonate, wheat protein, langoustine, modified starch (for texture), invert sugar, crab, xanthan gum, corn starch, flour, tapioca starch (as stabilizer), turmeric, potassium chloride (for color)","shellfish,wheat"
"peanut, guar gum, peanut protein, mackerel, turmeric (for color), glucose, lactic acid, sodium bicarbonate, fructose, natural flavors, sardine, water","fish,peanut"
"white sesame, mollusc extract, thiamine, sodium bicarbonate (as preservative), tapioca starch, oyster","molluscs,sesame"
"almond flour, cream, citric acid, vitamin D, natural colors, lactic acid, preservatives, artificial flavors, cashew, magnesium carbonate, xanthan gum, whey, almond paste, skimmed milk powder, mackerel","dairy,fish,tree_nuts"
"mono and diglycerides, canola oil, annatto, soy sauce, soy lecithin",soy
"INGREDIENTS: yeast, water (for texture), carrageenan, vitamin A, folate, lecithin",none
"cashew, walnut oil, corn starch, clam, peanut sauce, preservatives, natural colors, glucose, arachis oil, dextrose, pine nut, niacin, potato starch","molluscs,peanut,tree_nuts"
"natural flavors (as preservative), fructose (for texture), glucose, turmeric, soy lecithin, soy sauce, sugar",soy
"INGREDIENTS: carrageenan, magnesium carbonate, niacin, vitamin A, sesame oil, scallop, mussel. CONTAINS molluscs","molluscs,sesame"
"sesame flour, preserved with sulfites, annatto, guar gum, gingelly oil, xanthan gum, sesame oil, canola oil, potassium chloride (for color)","sesame,sulphites"
"guar gum, (may contain traces of fish, mustard), almond paste, thiamine (as stabilizer), vitamin D (as preservative), glucose","fish,mustard,tree_nuts"
"vitamin D, natural colors, corn syrup, yellow mustard, canola oil, white sesame","mustard,sesame"
"INGREDIENTS: natural colors, vitamin D, folate, citric acid, glucose, rice flour",none
"natural flavors, turmeric, xanthan gum, shrimp, krill, shellfish extract, (processed in a facility that also processes egg), lactic acid, salt","egg,shellfish"
"vitamin E, fructose, riboflavin",none
"lecithin, natural flavors, baking powder",none
"sodium bicarbonate, citric acid, beta carotene (as preservative), lupin protein, fructose, potato starch, vegetable oil, sweet lupin",lupin
"INGREDIENTS: corn syrup, preservatives, invert sugar (as preservative), bread crumbs, turmeric, pasta, baking powder, maltodextrin",wheat
"sunflower oil (as preservative), potato starch, thiamine, beta carotene",none
"vitamin D, potato starch, sugar, dried fruits with sulfites, (manufactured on equipment that also processes wheat, sulphites, tree_nuts), natural colors, sodium bisulfite","sulphites,sulphites,tree_nuts,wheat"
"potato starch, baking powder, natural colors (as stabilizer), riboflavin, canola oil, corn starch, vitamin D, peanut paste, beer nuts, modified starch (as stabilizer)",peanut
"ground nut oil, xanthan gum, tapioca starch, potato starch, beta carotene, goober peas, peanut sauce, potassium chloride, dextrose (for color)",peanut
"glucose, vegetable oil, semolina, sodium bicarbonate, sesame paste, pasta, gingelly oil, white sesame, beer nuts, thiamine (for color)","peanut,sesame,wheat"
"folate, wine preservative (sulfites), lactic acid, sulfites, sodium metabisulfite, sodium bicarbonate, canola oil, gingelly oil, sugar","sesame,sulphites"
"niacin, preservatives, sardine, soy flour, water, dextrose, corn starch, salmon, egg white, egg protein, yeast, calcium carbonate, natural flavors","egg,fish,soy"
"sesame protein, citric acid, vitamin A, magnesium carbonate, vegetable oil, lecithin, xanthan gum, salt",sesame
"potassium chloride, canola oil, seitan, vitamin E",wheat
"INGREDIENTS: mustard seed, yellow mustard, dijon mustard, paneer, tapioca starch, maltodextrin, corn syrup, beta carotene. CONTAINS dairy","dairy,mustard"
"palm oil, mono and diglycerides, thiamine",none
"vitamin A, lupin, thiamine, vegetable oil, lupine, lupin flour, citric acid, water, modified starch (for texture)",lupin
"INGREDIENTS: octopus, fructose, magnesium carbonate, maltodextrin, riboflavin, sodium bicarbonate (for texture)",molluscs
"annatto, beta carotene, xanthan gum, potassium chloride, tapioca starch",none
"yeast, rice flour, canola oil, goober peas, peanut butter, corn syrup, modified starch",peanut
"brazil nut, potato starch, vitamin A, walnut oil, sunflower oil, calcium carbonate, invert sugar, beta carotene, pasta, cashew butter, folate","tree_nuts,wheat"
"mono and diglycerides, canola oil, ground nut oil, paprika extract, crab, goober peas, natural flavors, langoustine, crayfish","peanut,shellfish"
"til, whey, natural flavors, tahini, xanthan gum, vitamin D, lactose, shrimp, rice flour, celery leaves, celery spice, sugar, curd","celery,dairy,sesame,shellfish"
"lupin flour, lupine, lupin protein, brazil nut, walnut, potassium chloride, salt, carrageenan, guar gum","lupin,tree_nuts"
"INGREDIENTS: walnut, sugar, egg lecithin, clam juice, almond paste, bread crumbs, pasta, scallop, cashew, artificial flavors, whole wheat flour, vitamin A. MAY CONTAIN fish, peanut DUE TO SHARED EQUIPMENT","egg,fish,molluscs,peanut,tree_nuts,wheat"
"INGREDIENTS: clam juice, sesame flour, corn syrup, lactic acid, vitamin A, sugar, scallop, periwinkle, modified starch, water. CONTAINS molluscs","molluscs,sesame"
"carrageenan, lecithin, yeast",none
"paprika extract, modified starch, riboflavin, artificial flavors, lactic acid, potato starch, vegetable oil",none
"butter, tapioca starch, mustard seed, pine nut, walnut oil, mustard extract, yellow mustard, modified starch, invert sugar, buttermilk, dextrose","dairy,mustard,tree_nuts"
"vitamin D, modified starch, riboflavin, salt (for color), maltodextrin, lecithin",none
"paprika extract, natural flavors, vitamin A, palm oil",none
"INGREDIENTS: calcium carbonate, tapioca starch, semolina, potato starch, magnesium carbonate, sugar, wheat bran, vitamin D, pasta. CONTAINS wheat. MAY CONTAIN dairy DUE TO SHARED EQUIPMENT","dairy,wheat"
"preserved with sulfites, celery extract, egg protein, palm oil, egg powder, contains sulfites, thiamine, mollusc extract, fructose (for color), natural flavors, clam juice, octopus","celery,egg,molluscs,sulphites"
"paprika extract, sweet lupin, thiamine, (may contain traces of celery), mustard powder, vitamin D, lupin protein, xanthan gum, lactose, lupin bean powder","celery,dairy,lupin,mustard"
"egg protein, egg wash, invert sugar, glucose, palm oil, lysozyme, potassium chloride, niacin, citric acid, carrageenan, calcium carbonate",egg
"magnesium carbonate (for color), celery leaves, maltodextrin, corn syrup, lecithin",celery
"INGREDIENTS: calcium carbonate, gingelly oil, niacin, natural flavors, invert sugar, squid, preserved with sulfites, sulphites, sodium metabisulfite, sunflower oil, til, corn starch, modified starch, mollusc powder, vitamin E. CONTAINS molluscs. MAY CONTAIN molluscs, dairy DUE TO SHARED EQUIPMENT","dairy,molluscs,sesame,sulphites"
"INGREDIENTS: clam, rice flour, (manufactured on equipment that also processes soy, sesame, peanut), casein, calamari, oyster sauce, fructose, salt, paprika extract, riboflavin, invert sugar, niacin, butter, guar gum. CONTAINS soy. MAY CONTAIN egg DUE TO SHARED EQUIPMENT","dairy,egg,molluscs,peanut,sesame,soy"
"peanut oil, celery seeds, yeast, corn syrup, celery leaves, fructose (as preservative), (may be present: soy, mustard, lupin), guar gum, beer nuts, rice flour","celery,lupin,mustard,peanut,soy"
"INGREDIENTS: vitamin E, niacin, carrageenan, sunflower oil (as stabilizer), snail, lecithin, scallop, abalone, vegetable oil, sugar. CONTAINS molluscs",molluscs
"glucose, periwinkle, snail, lecithin, mollusc powder, citric acid (as stabilizer)",molluscs
"salt, surimi, whey, mustard flour, fish powder, corn syrup, lupini beans, lupin bean powder, sardine, soya, folate, sweet lupin, soy sauce","dairy,fish,lupin,mustard,soy"
"INGREDIENTS: riboflavin, lactic acid, lupine, lupin protein, palm oil, preservatives, yeast, lupini beans, corn starch, paprika extract, magnesium carbonate. CONTAINS lupin",lupin
"shellfish, lobster, potato starch, wheat starch, potassium chloride (as stabilizer), vitamin A, krill","shellfish,wheat"
"carrageenan, water, calcium carbonate, lupin flour",lupin
"INGREDIENTS: celery leaves, celery stalk, invert sugar, sesame oil, sulfites, fructose, magnesium carbonate, xanthan gum, sesame paste, annatto, sesame, potassium metabisulfite, glucose, sulphites. CONTAINS celery. MAY CONTAIN shellfish DUE TO SHARED EQUIPMENT","celery,sesame,shellfish,sulphites"
"turmeric, mono and diglycerides, annatto, (manufactured on equipment that also processes celery, sesame), sugar","celery,sesame"
"globulin, modified starch, natural flavors, clam, glucose","egg,molluscs"
"INGREDIENTS: vitamin E, anchovy, preservatives, treated with sulfites, celery, fish stock, dried fruits with sulfites, calcium carbonate (for texture), contains sulfites. CONTAINS fish, sulphites, celery","celery,fish,sulphites"
"(may contain traces of soy), modified starch (for color), carrageenan, maltodextrin, soy, sugar, edamame, guar gum, soy flour, glucose","soy,soy"
"water (for texture), calcium carbonate, crayfish, corn syrup, seafood",shellfish
"baking powder, mono and diglycerides, sodium caseinate, maltodextrin, water, butter, sodium bicarbonate, preservatives (for color), (may contain traces of celery, sulphites), corn syrup (for color), soy flour, glucose","celery,dairy,soy,sulphites"
"natural colors, water, fish, lupine, lupin concentrate, lupin, dextrose, surimi, corn starch","fish,lupin"
"soy lecithin, yeast, tempeh, celery leaves, sodium metabisulfite, sodium bicarbonate, soy protein, corn starch, shellfish, crab","celery,shellfish,soy,sulphites"
"squid, palm oil, beta carotene, calamari, periwinkle, yeast",molluscs
"riboflavin (for texture), krill, shrimp paste, vitamin A, sodium caseinate, niacin, artificial flavors, lupini beans, lupin","dairy,lupin,shellfish"
"INGREDIENTS: palm oil, peanut sauce, mustard, potassium chloride, sunflower oil, mono and diglycerides, sodium metabisulfite, arachis oil, ground nut oil, mustard powder, crawfish. CONTAINS shellfish, peanut, sulphites","mustard,peanut,shellfish,sulphites"
"salt, cheese, vitamin D, guar gum, flour, butter, preservatives, seitan, potassium chloride, niacin, squid, modified starch","dairy,molluscs,wheat"
"peanut flour, hazelnut, pasteurized egg, lobster, niacin, paprika extract, turmeric, almond paste, egg yolk, tuna, fish extract, anchovy, egg lecithin, peanut protein","egg,fish,peanut,shellfish,tree_nuts"
"hazelnut, xanthan gum, snail, mollusc powder, riboflavin, (may be present: wheat), modified starch, carrageenan, paprika extract","molluscs,tree_nuts,wheat"
"dried albumin, citric acid, xanthan gum, egg, scallop, mono and diglycerides, artificial flavors, egg powder, invert sugar, clam juice","egg,molluscs"
"INGREDIENTS: edamame, celery root, artificial flavors, fish paste, soybean, beta carotene, vitamin A, celery salt, celery leaves, sugar. CONTAINS celery. MAY CONTAIN soy, wheat DUE TO SHARED EQUIPMENT","celery,fish,soy,wheat"
